dog_breed,dog_breed_type_short,dog_breed_type,query_match
Lagotto Romagnolo,I,Rassentypenliste I,ROMAGNA WATER DOG
Lakeland Terrier,K,Kleinwüchsig,LAKELAND TERRIER
Landseer,I,Rassentypenliste I,LANDSEER (EUROPEAN CONTINENTAL TYPE)
Langhaardackel,K,Kleinwüchsig,
Langhaarschäfer,I,Rassentypenliste I,
Laufhund,I,Rassentypenliste I,MEDIUM-SIZED ANGLO-FRENCH HOUND
Leonberger,I,Rassentypenliste I,LEONBERGER
Lhasa Apso,K,Kleinwüchsig,LHASA APSO
Luzerner Laufhund,I,Rassentypenliste I,
Luzerner Niederlaufhund,I,Rassentypenliste I,
Löwchen,K,Kleinwüchsig,LITTLE LION DOG
Magyar Viszla,I,Rassentypenliste I,
Malamut,I,Rassentypenliste I,ALASKAN MALAMUTE
Malinois,I,Rassentypenliste I,BELGIAN SHEPHERD DOG
Malteser,K,Kleinwüchsig,MALTESE
Manchester Terrier,K,Kleinwüchsig,MANCHESTER TERRIER
Maremma-Abruzzenhund,I,Rassentypenliste I,
Maremmano,I,Rassentypenliste I,MAREMMA AND THE ABRUZZES SHEEPDOG
Mastiff,I,Rassentypenliste I,BULLMASTIFF
Mastino Napoletano,I,Rassentypenliste I,NEAPOLITAN MASTIFF
Miniature Australien Shepard,,,
Miniature Bull Terrier,K,Kleinwüchsig,MINIATURE BULL TERRIER
Minipudel,K,Kleinwüchsig,
Mischling gross,I,Rassentypenliste I,
Mischling klein,K,Kleinwüchsig,
Mittelpudel,K,Kleinwüchsig,
Mittelschnauzer,I,Rassentypenliste I,
Mittelspitz,K,Kleinwüchsig,
Mops,K,Kleinwüchsig,PUG
Mudi,I,Rassentypenliste I,MUDI
Münsterländer,I,Rassentypenliste I,LARGE MUNSTERLANDER
Nackthund,K,Kleinwüchsig,PERUVIAN HAIRLESS DOG
Neufundländer,I,Rassentypenliste I,NEWFOUNDLAND
Niederlaufhund,I,Rassentypenliste I,SMALL SWISS HOUND
Norfolk Terrier,K,Kleinwüchsig,NORFOLK TERRIER
Norwegischer Buhund,I,Rassentypenliste I,NORWEGIAN BUHUND
Norwegischer Lundehund,K,Kleinwüchsig,NORWEGIAN LUNDEHUND
Norwich Terrier,K,Kleinwüchsig,NORWICH TERRIER
Nova Scotia Duck Tolling Retriever,I,Rassentypenliste I,NOVA SCOTIA DUCK TOLLING RETRIEVER
Old Englische Bulldogge,I,Rassentypenliste I,
Old English  Sheepdog,I,Rassentypenliste I,
Old English Mastiff,I,Rassentypenliste I,
Papillon,K,Kleinwüchsig,CONTINENTAL TOY SPANIEL
Parson Jack Russell Terrier,K,Kleinwüchsig,
Parson Russell Terrier,K,Kleinwüchsig,PARSON RUSSELL TERRIER
Parson Terrier,K,Kleinwüchsig,
Patterdale Terrier,K,Kleinwüchsig,
Pekingese,K,Kleinwüchsig,PEKINGESE
Perro Dogo Mallorquin,I,Rassentypenliste I,MAJORCA MASTIFF
Perro de Agua,I,Rassentypenliste I,AMERICAN WATER SPANIEL
Petit Basset Griffon,K,Kleinwüchsig,PETIT BASSET GRIFFON VENDEEN
Petit bleu de Gascogne,I,Rassentypenliste I,SMALL BLUE GASCONY
Phalène,K,Kleinwüchsig,
Pinscher,K,Kleinwüchsig,AFFENPINSCHER
Pit Bull Terrier,II,Rassentypenliste II,
Podenco,I,Rassentypenliste I,CANARIAN WARREN HOUND
Podenco Ibicenco,I,Rassentypenliste I,IBIZAN PODENCO
Pointer,I,Rassentypenliste I,ITALIAN POINTING DOG
Poitevin Jagdhund,I,Rassentypenliste I,
Polarspitz,K,Kleinwüchsig,
Polnische Bracke,I,Rassentypenliste I,POLISH HOUND
Polski Owczarek Nizinny,I,Rassentypenliste I,POLISH LOWLAND SHEEPDOG
Pomeranian,K,Kleinwüchsig,GERMAN SPITZ
Pon Hirtenhund,I,Rassentypenliste I,
Portugiesischer Hirtenhund,I,Rassentypenliste I,
Portugiesischer Wasserhund,I,Rassentypenliste I,PORTUGUESE WATER DOG
Powder Puff,K,Kleinwüchsig,
Prager Rattler,K,Kleinwüchsig,PRAGUE RATTER
Pudel,,,POODLE
Puli,K,Kleinwüchsig,PULI
Puli Ungarischer Hirtenhund,I,Rassentypenliste I,
Pumi,I,Rassentypenliste I,PUMI
